name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
LTG52	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG53	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG54	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG55	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG56	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG57	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG58	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG59	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG60	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG61	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG62	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG63	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LTG64	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
